,customerid,lastname,creditscore
139,15640905,Vasin,579
140,15698932,Groves,756
141,15724944,Tien,663
142,15628145,Forwood,682
143,15713483,Greeves,793
144,15612350,Taylor,691
145,15800703,Madukwe,485
146,15705707,Bennelong,635
147,15754105,Olisanugo,650
148,15703264,Chukwufumnanya,735
149,15794413,Harris,416
150,15650237,Morgan,754
151,15759618,Alexeeva,535
152,15811589,Metcalfe,716
153,15689044,Humphries,539
154,15709368,Milne,614
155,15679145,Chou,706
156,15655007,Li,758
157,15623595,Clayton,586
158,15589975,Maclean,646
159,15804017,Chigolum,631
160,15692132,Wilkinson,717
161,15641122,Wei,684
162,15630910,Treacy,800
163,15680772,Hu,721
164,15658929,Taverner,683
165,15585388,Sherman,660
166,15724623,Taubman,704
167,15588537,Robinson,615
168,15574692,Pinto,667
169,15611325,Wood,682
170,15587562,Hawkins,484
171,15613172,Sun,628
172,15651022,Yost,480
173,15586310,Ting,578
174,15625524,Rowe,512
175,15755209,Fu,484
176,15645248,Ho,510
177,15790355,Okechukwu,606
178,15762615,Campbell,597
179,15625426,Ashbolt,754
180,15716334,Rozier,850
181,15789669,Hsia,510
182,15621075,Ogbonnaya,778
183,15810845,T'ang,636
184,15719377,Cocci,804
185,15654506,Chang,514
186,15771977,T'ao,730
187,15708710,Ford,525
188,15726676,Marshall,616
189,15587421,Tsai,687
190,15726931,Onwumelu,715
191,15771086,Graham,512
192,15756850,Golovanov,479
193,15702741,Potts,601
194,15679200,Crawford,580
195,15594815,Aleshire,807
196,15635905,Moran,616
197,15777892,Samsonova,721
198,15656176,Jenkins,501
199,15811127,Volkov,521
200,15604482,Chiemezie,850
201,15622911,Jude,759
202,15600974,He,516
203,15727868,Onuora,711
204,15627801,Ginikanwa,512
205,15773039,Ku,550
206,15755262,McDonald,608
207,15679531,Collins,618
208,15684181,Hackett,643
209,15612087,Dike,671
210,15752047,Trevisano,689
211,15624592,Tan,603
212,15573152,Glassman,620
213,15594917,Miller,676
214,15785542,Kornilova,572
215,15723488,Watson,668
216,15680920,Marchesi,695
217,15786308,Millar,730
218,15659366,Shih,807
219,15774854,Fuller,592
220,15725311,Hay,726
221,15787155,Yang,514
222,15727829,McIntyre,567
223,15733247,Stevenson,850
224,15568748,Poole,671
225,15699029,Bagley,670
226,15774393,Ch'ien,694
227,15676895,Cattaneo,547
228,15637753,O'Sullivan,751
229,15605461,Lucas,594
230,15808473,Ringrose,673
231,15627000,Freeman,610
232,15787174,Sergeyev,512
233,15723886,Fiore,767
234,15704769,Smith,585
235,15772896,Dumetochukwu,763
236,15711540,Pacheco,712
237,15764866,Synnot,539
238,15794056,Johnston,668
239,15795149,Stevens,703
240,15812009,Grant,662
241,15651001,Tsao,725
242,15813844,Barnes,703
243,15596175,McIntosh,659
244,15576269,Madison,523
245,15797219,Ifesinachi,635
246,15685500,Glazkov,772
247,15599792,Dimauro,545
248,15657566,Wieck,634
249,15772423,Liao,739
250,15628112,Hughes,771
251,15753754,Morrison,587
252,15793726,Matveyeva,681
253,15694717,Ku,544
254,15665834,Cheatham,696
255,15765297,Yao,766
256,15636684,Kirkland,727
257,15592979,Rose,671
258,15750803,Jess,693
259,15607178,Welch,850
260,15713853,Ifeajuna,732
261,15673481,Morton,726
262,15686776,Rossi,557
263,15673693,Reppert,682
264,15700696,Kang,738
265,15813163,Ch'iu,531
266,15653857,Wallis,498
267,15777076,Clark,651
268,15717398,Fielding,549
269,15799217,Zetticci,791
270,15787071,Dulhunty,650
271,15619955,Bevington,733
272,15796505,Boyle,811
273,15725166,Newton,707
274,15800116,Bowman,712
275,15758685,Dubinina,706
276,15694456,Toscani,756
277,15767339,Chiazagomekpere,777
278,15683562,Allen,646
279,15782210,K'ung,714
280,15668893,Wilsmore,782
281,15669169,Hargreaves,775
282,15643024,Huang,479
283,15699389,Ch'ien,807
284,15708608,Wallwork,799
285,15626144,Chu,675
286,15573112,Kang,602
287,15790678,Davidson,475
288,15727556,O'Donnell,744
289,15697307,Nnachetam,588
290,15652266,Chidiebele,703
291,15607098,Ahmed,747
292,15655774,Booth,583
293,15590241,Chuang,750
294,15785819,Shao,681
295,15723654,Tsao,773
296,15774510,Tien,714
297,15684173,Chang,687
298,15650068,Johnson,511
299,15811490,French,627
300,15803976,Efremov,694
301,15682541,Hartley,616
302,15695699,Calabrese,687
303,15624188,Chiu,712
304,15812191,Brennan,553
305,15636673,Onwuatuegwu,667
306,15594898,Hewitt,731
307,15660211,Shih,629
308,15773972,Balashov,614
309,15746726,Doyle,438
310,15712287,Pokrovskii,652
311,15702919,Collins,729
312,15674398,Russo,642
313,15797960,Skinner,806
314,15631868,Robertson,744
315,15581539,Atkinson,474
316,15662736,Doyle,559
317,15666252,Ritchie,706
318,15677512,McEncroe,628
319,15626114,Pearson,429
320,15810834,Gordon,525
321,15678910,Ts'ai,680
322,15694408,Lung,749
323,15585215,Yuan,763
324,15682757,Pardey,734
325,15736601,Tai,716
326,15601848,Scott,594
327,15736008,Hunter,644
328,15669064,Mazzanti,671
329,15624528,L?,664
330,15598493,Beach,656
331,15601274,Hsieh,667
332,15702669,Faulkner,663
333,15728669,Knowles,584
334,15742668,Day,626
335,15697441,Hsueh,485
336,15740476,Tsao,659
337,15648064,Kennedy,649
338,15636624,Nwabugwu,805
339,15807923,Young,716
340,15745844,Kerr,642
341,15786170,Tien,659
342,15681081,Marrero,545
343,15684484,White,543
344,15785869,Pisano,718
345,15763859,Brown,840
346,15658935,Freeman,630
347,15747358,Russell,643
348,15735203,Seleznyov,654
349,15576256,Yusupova,582
350,15659420,Foley,659
351,15593365,Shih,762
352,15777352,Ikedinachukwu,568
353,15812007,Power,670
354,15625461,Amos,613
355,15739438,Reed,539
356,15611759,Simmons,850
357,15661629,Ricci,522
358,15633950,Yen,737
359,15592386,Campbell,520
360,15803716,West,706
361,15696674,Robinson,643
362,15706365,Bianchi,648
363,15745088,Chen,443
364,15676715,Madukaego,640
365,15613085,Ibrahimova,628
366,15633537,Nolan,540
367,15594720,Scott,460
368,15684042,Blair,636
369,15583303,Monaldo,593
370,15611579,Sutherland,801
371,15774696,Cole,640
372,15694506,Briggs,611
373,15688074,Gregory,802
374,15759537,Bianchi,717
375,15758449,Angelo,769
376,15583456,Gardiner,745
377,15667871,Kerr,572
378,15677371,Ko,629
379,15629677,Distefano,687
380,15713578,Farrell,483
381,15591509,Milano,690
382,15568240,Ting,492
383,15622993,Boyd,709
384,15689294,Onyemaechi,705
385,15720910,Black,560
386,15721181,Oliver,611
387,15776433,Greco,730
388,15748936,Whitehead,709
389,15717225,Ikemefuna,544
390,15685226,Morrison,712
391,15785611,Onyeoruru,752
392,15573456,Cunningham,648
393,15684548,Demidov,556
394,15620505,Celis,594
395,15807432,Cheng,645
396,15584766,Knight,557
397,15612187,Morin,547
398,15762218,Mills,701
399,15646372,Outhwaite,616
400,15690452,Tung,605
401,15747795,Pai,593
402,15781589,Carpenter,751
403,15732674,Fennell,443
404,15642291,Fontaine,685
405,15692761,Pratt,718
406,15578045,Mitchell,538
407,15745354,Franklin,611
408,15701376,K'ung,668
409,15691625,Ko,537
410,15566594,McKenzie,709
411,15760431,Pino,850
412,15686302,Fisk,745
413,15801559,Chiang,693
414,15810432,Moseley,795
415,15809616,Hsiung,626
416,15720559,Heath,487
417,15695632,Dellucci,556
418,15659843,Li,643
419,15615624,De Salis,605
420,15810418,T'ang,756
421,15716186,Richardson,586
422,15674551,Fitch,535
423,15622834,Stevenson,678
424,15566111,Estes,596
425,15784597,Lattimore,648
426,15652883,Chung,492
427,15806964,Utz,702
428,15576313,Wei,486
429,15806467,Boyle,568
430,15597602,Nwachinemelu,619
431,15743040,Kuznetsova,724
432,15705521,Pisani,548
433,15595039,Manna,545
434,15799384,Collier,683
435,15581197,Ricci,762
436,15693737,Carr,627
437,15624623,Hs?,516
438,15783501,Findlay,800
439,15690134,Hughes,464
440,15782735,Chukwuemeka,626
441,15611088,Genovese,790
442,15672145,Swift,534
443,15732628,Ugoji,745
444,15787470,Parkinson,553
445,15803406,Ross,748
446,15730460,Oleary,722
447,15644572,Turnbull,501
448,15694860,Uspensky,675
449,15658169,Cook,778
450,15794396,Newbold,494
451,15785798,Uchechukwu,850
452,15710825,Ch'en,592
453,15668444,He,590
454,15726631,Hilton,758
455,15733797,Sal,506
456,15747960,Eluemuno,733
457,15634632,Titus,711
458,15707362,Yin,514
459,15662976,Lettiere,637
460,15732778,Templeman,468
461,15718443,Chibuzo,539
462,15670039,Sun,509
463,15773792,Evans,662
464,15613786,Ogbonnaya,818
465,15726032,Enyinnaya,608
466,15663252,Olisanugo,850
467,15593782,Brookes,816
468,15633283,Padovano,536
469,15749167,Fisk,753
470,15759298,Shih,631
471,15683625,Hare,703
472,15635367,Muir,774
473,15681705,Fanucci,785
474,15603156,Elewechi,571
475,15591986,Johnston,621
476,15798888,Pisano,605
477,15809722,Ankudinov,611
478,15677538,Nwokike,569
479,15797736,Smith,658
480,15695585,Atkins,788
481,15744398,Burns,525
482,15750658,Obiuto,798
483,15578186,Pirozzi,486
484,15676519,George,615
485,15637954,Lewis,730
486,15758639,Moran,641
487,15613772,Dalrymple,542
488,15731744,Carslaw,692
489,15807709,Kirby,714
490,15714689,Houghton,591
491,15699005,Martin,710
492,15624170,Tan,639
493,15725679,Hsia,531
494,15585865,Westerberg,673
495,15804256,Hale,765
496,15662403,Kryukova,622
497,15733616,Sopuluchukwu,806
498,15591995,Barry,757
499,15677020,Selezneva,570
500,15727688,Chizuoke,555
501,15715941,Lueck,692
502,15714485,Udinese,774
503,15730059,Udobata,638
504,15715527,Freeman,543
505,15576623,Outlaw,584
506,15805565,Obiuto,691
507,15677307,Lo,684
508,15773890,Okechukwu,733
509,15598883,King,599
510,15568506,Forbes,524
511,15761043,Macleod,632
512,15782236,Gibbs,735
513,15593601,Isayev,734
514,15682048,Pisano,605
515,15746902,Belstead,793
516,15752081,Vassiliev,468
517,15781307,Schneider,779
518,15775912,Mazzanti,698
519,15745417,Knipe,707
520,15671256,Macartney,850
521,15653547,Madukwe,850
522,15595766,Watts,527
523,15742358,Humphreys,696
524,15763274,Wu,661
525,15786063,Chin,776
526,15600258,Chesnokova,701
527,15573318,Kung,610
528,15653849,Lu,572
529,15694272,Nkemakolam,673
530,15736112,Walton,519
531,15749851,Brookes,702
532,15663478,Baldwin,729
533,15592300,Mai,543
534,15567832,Shih,550
535,15776780,He,608
536,15592846,Fiorentini,639
537,15739803,Lucciano,686
538,15794142,Ferreira,564
539,15762729,Ukaegbunam,745
540,15667896,De Luca,833
541,15626578,Milne,622
542,15776223,Davide,597
543,15705953,Kodilinyechukwu,721
544,15802593,Little,504
545,15615457,Burns,842
546,15708916,Paterson,587
547,15720187,Han,479
548,15595440,Kryukova,508
549,15600651,Ijendu,749
550,15750141,Reichard,721
551,15657284,Day,674
552,15763063,Price,685
553,15709324,Bruce,417
554,15711309,Sumrall,574
555,15775318,Lu,590
556,15705515,Lazarev,587
557,15634844,Miller,598
558,15717046,Wentworth-Shields,741
559,15571816,Ritchie,850
560,15670080,Mackenzie,584
561,15800440,Power,650
562,15665678,Tan,607
563,15665956,Pendergrass,509
564,15788126,Evans,689
565,15811773,Hsia,543
566,15651674,Billson,438
567,15689614,Teng,687
568,15795564,Moretti,737
569,15706647,Jordan,761
570,15728505,Ts'ao,601
571,15730076,Osborne,651
572,15622003,Carslaw,745
573,15607312,Ch'ang,648
574,15644753,Hung,848
575,15653620,Gordon,546
576,15761986,Obialo,439
577,15633922,Gray,755
578,15734674,Lin,593
579,15658032,Hopkins,701
580,15692671,Dobson,701
581,15737741,McKay,607
582,15576352,Revell,586
583,15753719,Rickards,547
584,15803689,Begum,647
585,15718057,Onyinyechukwuka,760
586,15722010,Zuyev,621
587,15680998,Nwankwo,725
588,15614782,Hao,526
589,15591047,Ma,519
590,15788291,Okwuadigbo,713
591,15604044,Mitchell,700
592,15679587,Chan,666
593,15775153,Buchi,630
594,15603925,Greco,779
595,15680970,Lombardi,611
596,15697183,Uchenna,685
597,15567446,Coffman,646
598,15637476,Alexandrova,683
599,15714939,Fallaci,484
600,15683503,Hudson,601
601,15645569,Mai,762
602,15782569,Stout,687
603,15592387,Burke,566
604,15609286,Chadwick,702
605,15814035,Lawrence,601
606,15661249,Bellucci,699
607,15629117,Harper,584
608,15607170,Boyle,699
609,15586585,Duncan,698
610,15686611,Moss,495
611,15603203,Avdeyeva,650
612,15619857,Crawford,605
613,15805062,Lynton,667
614,15660271,Duncan,688
615,15745295,Gether,727
616,15719352,Davidson,754
617,15766575,Larionova,612
618,15594594,Loggia,546
619,15646161,Steinhoff,673
620,15682585,Guerra,593
621,15603134,Pai,656
622,15636444,Craig,535
623,15773456,Lazareva,678
624,15745307,Ch'iu,477
625,15604119,Alderete,850
626,15626900,Kung,427
627,15605447,Palermo,752
628,15589030,Ts'ai,649
629,15692463,Rahman,799
630,15712403,McMillan,589
631,15811762,Pickering,583
632,15718673,Mirams,839
633,15724282,Tsao,540
634,15738181,Douglas,850
635,15633648,Jideofor,696
636,15603323,Bell,660
637,15583725,Mairinger,682
638,15588350,McIntyre,744
639,15798398,Pagnotto,785
640,15784844,K'ung,752
641,15580684,Feng,706
642,15809663,Donaldson,583
643,15640078,Chambers,660
644,15698786,Marcelo,819
645,15569807,Ejimofor,673
646,15730830,Dale,752
647,15805112,Pokrovsky,578
648,15633064,Stonebraker,438
649,15703119,Liang,652
650,15730447,Anderson,629
651,15813850,Christian,720
652,15711889,Mao,668
653,15664610,Campbell,459
654,15751710,Ginikanwa,729
655,15692926,Toscani,498
656,15813741,Nnachetam,549
657,15698474,Sagese,601
658,15568595,Fleming,544
659,15603065,Grubb,751
660,15592937,Napolitani,632
661,15699637,Anenechi,694
662,15667215,Chandler,678
663,15788659,Howells,695
664,15763218,Akeroyd,661
665,15645772,Onwumelu,661
666,15725511,Wallace,559
667,15575024,Uwaezuoke,503
668,15640825,Loyau,695
669,15662397,Small,640
670,15576368,Bledsoe,624
671,15674991,Kao,667
672,15721024,Wickens,642
673,15745621,Wertheim,640
674,15642394,He,529
675,15754605,Jarvis,563
676,15607040,P'an,593
677,15715142,Repina,739
678,15810978,Pugliesi,788
679,15668886,Blakey,684
680,15780804,Nucci,482
681,15613880,Higinbotham,591
682,15775238,Achebe,651
683,15786905,Russo,749
684,15747867,Trevisani,583
685,15600337,Dobie,661
686,15801277,Maccallum,715
687,15579334,Watkins,769
688,15802741,Mitchel,625
689,15720649,Ferdinand,641
690,15589493,Otitodilinna,716
691,15688251,Mamelu,767
692,15665238,Beneventi,745
693,15740900,Perrodin,589
694,15681068,Chinagorom,796
695,15748625,Napolitano,664
696,15727299,Edgar,445
697,15620204,Walker,543
698,15669516,Steele,746
699,15736534,Elkins,742
700,15803457,Hao,750
701,15659098,Toscano,669
702,15603436,Savage,594
703,15566292,Okwuadigbo,574
704,15808621,Mordvinova,659
705,15580148,Welch,750
706,15776231,Kent,626
707,15773809,Campbell,620
708,15649423,Cooper,580
709,15734886,Mazzi,686
710,15722548,Fisher,540
711,15650288,Summers,634
712,15629448,Brady,632
713,15716164,Nicholls,501
714,15807609,Yuan,650
715,15578977,Robinson,786
716,15677369,Golubov,554
717,15804072,Chen,701
718,15696859,Oldham,474
719,15653780,Kambinachi,621
720,15721658,Fleming,672
721,15578761,Cunningham,459
722,15736879,Obinna,669
723,15571973,Chinwemma,776
724,15626742,Carpenter,694
725,15672692,Yin,787
726,15673570,Olsen,580
727,15767432,Ts'ai,711
728,15654238,Jen,673
729,15612525,Preston,499
730,15812750,Ozioma,591
731,15790757,Cody,769
732,15723873,Ponomarev,657
733,15744607,Martin,738
734,15612966,Milani,545
735,15784209,Tang,497
736,15794278,Romani,816
737,15766741,McIntyre,525
738,15661036,Davis,725
739,15705639,Onyemauchechukwu,692
740,15637414,Gell,618
741,15716835,Rossi,546
742,15696231,Chiwetelu,635
743,15641675,Kirillova,611
744,15670755,Shaw,650
745,15640059,Smith,606
746,15787619,Hsieh,844
747,15587535,Onyemauchechukwu,450
748,15813034,Martin,727
749,15698839,Okwudilichukwu,460
750,15790314,Onuoha,649
751,15634245,Muecke,758
752,15677305,Hsieh,490
753,15661526,Anderson,815
754,15685997,Azubuike,838
755,15660101,Nnonso,803
756,15637979,Fuller,664
757,15815364,Ashley,736
758,15647099,Ts'ui,633
759,15625944,Buccho,664
760,15583212,Chidozie,600
761,15582741,Maclean,693
762,15637876,Burns,663
763,15622750,Chu,742
764,15672056,Kenenna,710
765,15812351,Beluchi,710
766,15810864,Williamson,700
767,15677921,Bobrov,720
768,15724296,Kerr,684
769,15685329,McKenzie,531
770,15584091,Pitts,742
771,15640442,Standish,717
772,15639314,Cartwright,589
773,15685320,Johnstone,767
774,15789158,Nikitina,636
775,15752137,McElroy,648
776,15712551,Shen,622
777,15628936,Archer,692
778,15797227,Otutodilinna,754
779,15769974,Shih,679
780,15737051,Denisov,639
781,15585595,Owens,774
782,15654060,P'eng,517
783,15745196,Verco,571
784,15571221,Bergamaschi,747
785,15660155,Lorenzo,792
786,15605284,Outtrim,688
787,15694366,Hou,714
788,15600739,Galkin,562
789,15653253,Pagnotto,704
790,15763431,Echezonachukwu,698
791,15643696,Young,611
792,15707473,Summers,850
793,15769504,Munro,743
794,15776807,Brennan,654
795,15686870,Ball,761
796,15668747,Virgo,702
797,15766908,Trevisani,488
798,15570134,Padovano,683
799,15567367,Tao,601
800,15747542,Perez,605
801,15762238,Fraser,671
802,15681554,Alley,614
803,15712825,Howells,511
804,15640280,Cameron,850
805,15756026,Hooper,790
806,15613319,Rice,793
807,15798906,Cox,628
808,15708917,Martin,598
809,15778463,Ikenna,657
810,15699430,Davide,618
811,15649992,Alexander,681
812,15578980,Piazza,516
813,15775306,Ni,421
814,15641655,Black,700
815,15619708,Harker,745
816,15734565,Hughes,696
817,15806438,Chiabuotu,580
818,15591969,Kuo,497
819,15747807,Gallagher,720
820,15596939,Calabresi,659
821,15716155,Shaw,841
822,15765311,Zhirov,642
823,15757811,Lloyd,732
824,15603830,Palmer,600
825,15660602,Ch'eng,464
826,15660535,Avent,680
827,15666633,Huang,758
828,15596914,Shaw,630
829,15639788,Yuan,577
830,15695846,Hawkins,684
831,15726234,Trentini,708
832,15797964,Cameron,732
833,15625881,Koehler,634
834,15780628,Wu,633
835,15575883,Manna,559
836,15585036,Okoli,694
837,15589488,Ch'eng,686
838,15585888,Nwokezuike,553
839,15727915,Artemiev,507
840,15707567,Esposito,732
841,15737792,Abbie,818
842,15599433,Fanucci,660
843,15672012,Jen,773
844,15806983,Moss,640
845,15592222,Lo,505
846,15608968,Averyanov,714
847,15586959,Unaipon,468
848,15646558,Clamp,611
849,15725811,Lim,705
850,15572265,Wu,646
851,15794048,Wan,667
852,15677610,Chambers,511
853,15745012,Pettit,653
854,15601589,Baresi,675
855,15686436,Newbery,523
856,15693864,Iheanacho,567
857,15760550,Duncan,741
858,15686137,Barry,456
859,15809087,Landry,598
860,15807663,McGregor,667
861,15809100,Nucci,548
862,15794916,Pirogov,725
863,15614215,Oguejiofor,717
864,15805449,Ugochukwu,594
865,15686983,Rohu,678
866,15808017,Cary,545
867,15756804,O'Loghlen,636
868,15646810,Quinn,603
869,15710424,Page,435
870,15799422,Evans,535
871,15692750,McGregor,629
872,15794549,Andrews,722
873,15803764,Stanley,561
874,15674840,Chiazagomekpere,645
875,15653762,Chidiebele,501
876,15581229,Gregory,502
877,15800228,Bednall,652
878,15656333,Jen,574
879,15697497,She,518
880,15585362,Simmons,749
881,15571928,Fraser,679
882,15785519,May,565
883,15743007,Seabrook,643
884,15777211,Herrera,515
885,15721935,Kincaid,521
886,15591711,Sleeman,739
887,15625021,Hung,585
888,15702968,Artemieva,733
889,15600462,Barwell,542
890,15768104,Wright,788
891,15780140,Bellucci,435
892,15585255,Moore,577
893,15772781,Ball,703
894,15669987,Sung,728
895,15697000,Mello,728
896,15733119,Mistry,718
897,15782390,T'ien,621
898,15654700,Fallaci,523
899,15632210,Hill,657
900,15642041,Burns,727
901,15709737,Hunter,643
902,15792388,Li,645
903,15786014,Ku,568
904,15794580,Ch'en,599
905,15675964,Chukwukadibia,672
906,15814275,Zikoranachidimma,685
907,15724848,Oluchukwu,516
908,15754713,Rivera,685
909,15693814,Niu,806
910,15599660,Bennett,604
911,15746490,Wollstonecraft,648
912,15566091,Thomsen,545
913,15655961,Palermo,756
914,15710404,Chinwendu,569
915,15775625,McKenzie,596
916,15792328,James,475
917,15719856,Lamb,646
918,15593773,Olejuru,784
919,15733114,Hay,552
920,15797748,Lu,729
921,15743411,Chiawuotu,609
922,15753337,Yeates,555
923,15601026,Gallagher,572
924,15658485,Heath,785
925,15636731,Ts'ai,714
926,15628303,Thurgood,738
927,15633461,Pai,639
928,15677135,Lorenzo,520
929,15590876,Knupp,764
930,15790782,Baryshnikov,661
931,15700476,Azubuike,564
932,15634141,Shephard,708
933,15737795,Scott,512
934,15790299,Williamson,592
935,15675316,Avdeeva,619
936,15613630,Tang,775
937,15662100,Hsu,850
938,15668032,Buchanan,577
939,15599289,Yeh,724
940,15754084,Palazzi,710
941,15676521,Y?an,696
942,15804586,Lin,376
943,15781465,Schofield,675
944,15729362,Lombardi,745
945,15709295,Wall,697
946,15745324,Milani,599
947,15741336,Ejimofor,715
948,15783659,Blackburn,659
949,15620981,Wickham,684
950,15630328,Bird,635
951,15785899,Ch'en,789
952,15606149,Wood,571
953,15671139,Brizendine,694
954,15660429,Ch'in,665
955,15571002,Yusupov,706
956,15631681,Jibunoh,807
957,15731522,Ts'ui,771
958,15619529,Ndukaku,531
959,15628034,Wilder,629
960,15686164,Maclean,850
961,15582797,Ch'iu,685
962,15753831,Cox,642
963,15731815,Nepean,529
964,15580956,McNess,683
965,15602084,Coles,663
966,15589805,Benson,563
967,15720893,Gilbert,637
968,15641009,Wilhelm,544
969,15605926,Sinclair,649
970,15805955,L?,638
971,15801488,Buckner,723
972,15605918,Padovesi,635
973,15779711,Gray,750
974,15705620,Lu,730
975,15685357,Wright,750
976,15570060,Palerma,586
977,15582616,Y?an,520
978,15799515,Wei,652
979,15642937,Padovesi,550
980,15624729,Tsao,594
981,15566156,Franklin,749
982,15792360,Clark,668
983,15807008,McGregor,614
984,15704770,Pan,773
985,15756475,Kenniff,551
986,15655339,Spencer,566
987,15613749,Lees,569
988,15664521,David,659
989,15681206,Hsing,722
990,15745527,Burke,655
991,15806926,Watson,615
992,15724563,Hawkins,752
993,15782899,Ginn,661
994,15623521,Sozonov,838
995,15810218,Sun,610
996,15645621,Hunter,811
997,15608114,Manfrin,587
998,15659557,Artamonova,811
999,15787772,Hansen,759
1000,15691111,Pai,648
1001,15592089,Larsen,788
1002,15633897,Owen,725
1003,15701301,Murphy,646
1004,15723685,Ekechukwu,601
1005,15701602,Ayers,521
1006,15739189,Johnson,561
1007,15573086,Millar,564
1008,15569050,Farrell,444
1009,15750765,Sanders,650
1010,15799811,Herrera,724
1011,15698442,Eberechukwu,719
1012,15655274,Bardin,548
1013,15603594,Nwankwo,635
1014,15585961,Talbot,496
1015,15686936,McGregor,676
1016,15770424,Onyeorulu,541
1017,15587451,Goold,778
1018,15602010,Zikoranaudodimma,850
1019,15600583,Garner,633
1020,15654673,Onyinyechukwuka,625
1021,15717164,Genovese,485
1022,15765014,Mai,547
1023,15682639,Marshall,642
1024,15729279,Naylor,718
1025,15759805,Pinto,582
1026,15767864,Fulton,628
1027,15769948,Palerma,737
1028,15686345,McCaffrey,828
1029,15688071,Collins,609
1030,15681174,Zuev,730
1031,15667521,Crawford,631
1032,15750243,Genovese,830
1033,15695475,Maclean,645
1034,15689176,Fabro,663
1035,15652955,Price,678
1036,15668958,Chatfield,521
1037,15631054,Volkova,625
1038,15581479,Archer,523
1039,15577478,Ch'iu,714
1040,15780870,McKay,580
1041,15692317,Craig,722
1042,15593969,Abramovich,630
1043,15570417,Chien,579
1044,15779059,Timms,670
1045,15785980,Williford,588
1046,15644200,Hamilton,807
1047,15793949,Cheng,726
1048,15645103,Su,812
1049,15705860,McKenzie,631
1050,15623828,Akobundu,682
1051,15715003,Ko,625
